,CSD_ID,Huckel_SMI
6969,EDAHAU,[O-2]->[V+5]12(<-[O-2])<-[O-]c3ccccc3C=N->1CCN->2CCN=Cc1ccccc1O
6970,EDALOL,C1=CC2=C[N-]3C4CCCCC4N4=Cc5ccc[n-]5->[Ni+2]<-4<-3<-N2=C1
6971,EDAMAX,[Br-]->[Ni+2]1(<-[Br-])<-P(CCP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
6972,EDAMUR,CN1(C)Cc2cccc3CN(C)(C)->[Ru+2]<-1(<-[Cl-])(<-[Cl-])(<-n1ccccc1)<-n23
6973,EDANAB,[Br-]->[Pd+2](<-[Br-])(<-[C]1N(Cc2ccccc2)C=CN1c1ccc2ccc3cccc4ccc1c2c34)<-n1ccccc1
6974,EDAPUU,S=C=[N-]->[Co+3]12(<-[N-]=C=S)(<-NCCCCN->1)<-NCCCCN->2
6975,EDAVIR,CN1C=CN(c2cc(C(C)(C)C)cc3c2Oc2c(C(n4cccn4)n4cccn4)cc(C(C)(C)C)cc2C3(C)C)[C]1->[Au+]<-[Cl-]
6976,EDAWEM,Oc1ccc(CCN2=Cc3ccccc3[O-]->[Ni+2]<-23<-[O-]c2ccccc2C=N->3CCc2ccc(O)cc2)cc1
6977,EDAWOX,C[CH2-]->[Zn+2]12<-N3=C([B-](C4=N->1C(C)(C)CO4)(C1=N->2C(C)(C)CO1)c1ccccc1)OCC3(C)C
6978,EDAXAK,CC1(C)COC2[B-]3(C4=N(->[Zn+2](<-N=21)(<-N1=C3OCC1(C)C)<-[C-](C)(C)C)C(C)(C)CO4)c1ccccc1
6979,EDAXIS,CC1(C)COC2[B-]3(C4=N(->[Zn+2](<-[CH2-]c5ccccc5)(<-N=21)<-N1=C3OCC1(C)C)C(C)(C)CO4)c1ccccc1
6980,EDAXOY,CCO[O-]->[Zn+2]12<-N3=C([B-](C4=N->1C(C)(C)CO4)(C1=N->2C(C)(C)CO1)c1ccccc1)OCC3(C)C
6981,EDAYAL,CC(C)O[O-]->[Zn+2]12<-N3=C([B-](C4=N->1C(C)(C)CO4)(C1=N->2C(C)(C)CO1)c1ccccc1)OCC3(C)C
6982,EDAYEP,CC(C)(C)O[O-]->[Zn+2]12<-N3=C([B-](C4=N->1C(C)(C)CO4)(C1=N->2C(C)(C)CO1)c1ccccc1)OCC3(C)C
6983,EDAYIT,CC(C)(O[O-]->[Zn+2]12<-N3=C([B-](C4=N->1C(C)(C)CO4)(C1=N->2C(C)(C)CO1)c1ccccc1)OCC3(C)C)c1ccccc1
6984,EDAYOY,CN12CCN3(C)c4cccc5cccn(->[Fe+2]<-1<-3(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-n1cccc3cccc2c31)c45
6985,EDAYUE,CN12CCCN3(C)c4cccc5cccn(->[Fe+2]<-1<-3(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-n1cccc3cccc2c31)c45
6986,EDCHCO,[Cl-]->[Co+3]12(<-[Cl-])(<-NCCN->1)<-NCCN->2
6987,EDEGOJ,Clc1ccc(N=C=[N-]->[Ru+2]234(<-n5ccccc5-c5ccccn->25)<-n2ccccc2-c2cccc(-c5ccccn->35)n->42)c(Cl)c1
6988,EDEGUR,CC1=CC(C)=O->[Pt+2]2(<-[O-]1)<-[C]1N(C)C=CN1C1=C->2=CC(=[B-](c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)C=C1
6989,EDEHAY,CC1=CC(C)=O->[Pt+2]2(<-[O-]1)<-[c-]1ccc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)cc1-[n+]1ccn(C)[c-]->21
6990,EDEKUV,c1ccc2c(c1)c[c-]1->[Pd+2]3(<-[CH-]4C5CCC(C5)C4n21)<-n1cccc2ccc4cccn->3c4c21
6991,EDEZOC,c1ccc(C2=N3->[Pd+2]45(<-C(c6ccccc6)=C->4[CH-]->5c4ccccc4)<-P(CCC3CO2)(c2ccccc2)c2ccccc2)cc1
6992,EDIBOL,Cc1cc(C)[c-](->[Fe+2](<-[C]2N(C)C=CN2C)(<-[C]2N(C)C=CN2C)<-[c-]2c(C)cc(C)cc2C)c(C)c1
6993,EDIBUR,Cc1cc(C)[c-](->[Fe+2](<-[C]2N(C)C=CN2C(C)C)(<-[C]2N(C)C=CN2C(C)C)<-[c-]2c(C)cc(C)cc2C)c(C)c1
6994,EDIDAZ,CC(C)N1C=CN(C(C)C)[C]1->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C]1N(C(C)C)C=CN1C(C)C
6995,EDIDIH,CC(C)N1C=CN(C(C)C)[C]1->[Fe+2](<-[O-]c1ccccc1)(<-[O-]c1ccccc1)<-[C]1N(C(C)C)C=CN1C(C)C
6996,EDIDOM,CC#N->[Mn+3]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[N-](C=C2C=Cc3ccccc3[N-]->12)c1ccccc1
6997,EDIDUS,CC#N->[Mn+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-N(=Cc2ccc3ccccc3n->12)c1ccccc1SC
6998,EDIDUT,CC(C)N1C=CN(C(C)C)[C]1->[Fe+2]1(<-[NH-]c2ccccc2[NH-]->1)<-[C]1N(C(C)C)C=CN1C(C)C
6999,EDIFAA,CSc1ccccc1[N-]1C=C2C=Cc3ccccc3[N-]2->[Mn+3]<-1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
7000,EDIFII,CSc1ccccc1N1=Cc2ccccn2->[Mn+]<-1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
7001,EDIHOQ,[O+]#[C-]->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-O=c2cccccc2[O-]->1)<-n1ccccc1
7002,EDIJIL,CC(C)N1C=CN(C(C)C)[C]1->[Ni+2](<-[CH3-])(<-[C]1N(C(C)C)C=CN1C(C)C)<-S(C)[O-]
7003,EDIJUX,CC(C)N1C=CN(C(C)C)[C]1->[Ni+2](<-[O-]Sc1ccccc1)(<-[C]1N(C(C)C)C=CN1C(C)C)<-[c-]1ccccc1
7004,EDIMUA,CS(C)(=O)->[Ru+2]1(<-[Cl-])(<-[Cl-])(<-N(Cc2ccccn->12)=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1)<-S(C)(C)=O
7005,EDIRAN,CC1C2C(C)=N(c3c(C(C)C)cccc3C(C)C)->[Fe+2](<-[Cl-])(<-[Cl-])(<-N=1c1c(C(C)C)cccc1C(C)C)<-n1ccccc12
7006,EDISOA,CN1(C)CCN2(C)CCN3(C)[CH2-]->[FeH+3]<-1<-2<-3(<-[O-]S(=O)(=O)C(F)(F)F)<-[O-]S(=O)(=O)C(F)(F)F
7007,EDISOC,CC(C)c1cccc(C(C)C)c1NC=C1C=C(Cl)C=C2C=N(c3c(C(C)C)cccc3C(C)C)->[Zr+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-O=C12
7008,EDISUI,CC(C)c1cccc(C(C)C)c1NC=C1C=C(Cl)C=C2C=N(c3c(C(C)C)cccc3C(C)C)->[Hf+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-O=C12
7009,EDIZAV,CC1c2c([O-]->[Pd+2]3(<-[O-]C(=O)CN->3=1)<-N(C)C)c1ccccc1oc2=O
7010,EDIZIB,COc1ccccc1N1=Cc2ccccc2[O-]->[Ni+2]<-123<-[O-]c1ccccc1C=N->2c1ccccc1O->3C
7011,EDOFUB,CC1=CC(=CNc2c(C(C)C)cccc2C(C)C)C2=O->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-N(=CC2=C1)c1c(C(C)C)cccc1C(C)C
7012,EDOGEM,CC1=CC(=CNc2c(C(C)C)cccc2C(C)C)C2=O->[Hf+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-N(=CC2=C1)c1c(C(C)C)cccc1C(C)C
7013,EDOGIO,CC(C)(C)c1ccc2ccc3ccc(C(C)(C)C)n4->[Cu+](<-[O-]S(=O)(=O)C(F)(F)F)<-n1c2c34
7014,EDOGIQ,CC(C)c1cccc(C(C)C)c1NC=C1C=C(Cl)C=C2C=N(c3c(C(C)C)cccc3C(C)C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-O=C12
7015,EDOLER,CC12=O->[Zn+2]<-134(<-NCc1ccccn->31)(<-NCc1ccccn->41)<-[O-]2
7016,EDONOC,[Cl-]->[Pd+2](<-[Cl-])(<-Nc1ccc(I)cc1)<-Nc1ccc(I)cc1
7017,EDONUI,CC(C)NC(NC(C)C)=N(c1ccc(I)cc1)->[Pd+2](<-[Cl-])(<-[Cl-])<-N(=C(NC(C)C)NC(C)C)c1ccc(I)cc1
7018,EDOQIZ,CC(C)(C)P(->[Au+]<-[C-](Cl)(Cl)Cl)(c1ccccc1-c1ccccc1)C(C)(C)C
7019,EDOQUJ,C1=C2OCC(c3ccccc3)[N-]2->[Rh+]23(<-C=C->2)(<-C=C->3)<-N2=C1OCC2c1ccccc1
7020,EDOWUQ,CN12CC[S-]->[Re+5]<-1(<-[O-2])(<-[S-]CCN1CCCc3ccccc31)<-[S-]CC2
7021,EDOXAX,CN12CC[S-]->[Re+5]<-1(<-[O-2])(<-[S-]CCN1CCc3ccccc3C1)<-[S-]CC2
7022,EDOZAA,CC(C)P1(c2ccccc2[P-]2c3ccccc3P(C(C)C)(C(C)C)->[Ni+2]<-2<-1<-[Cl-])C(C)C
7023,EDTARH,O=C(O)CN12CCN34CC(=O)[O-]->[Rh+3]<-1<-3(<-O)(<-[O-]C(=O)C2)<-[O-]C(=O)C4
7024,EDUCUD,COc1ccc(C(=O)Oc2ccccc2[N+]#[C-]->[Pd+2](<-[Cl-])(<-[Cl-])<-[C-]#[N+]c2ccccc2OC(=O)c2ccc(OC)cc2)cc1
7025,EDUGAN,Cc1ccn2->[Cd+2](<-[I-])(<-[I-])(<-O=CN(C)C)<-n3ccc(C)cc3-c2c1
7026,EDUGER,CSc1ccccc1N1=Cc2ccccc2[O-]->[Zn+2]<-12<-[O-]c1ccccc1C=N->2c1ccccc1SC
7027,EDUHIW,CC(=O)NC(N)=S->[Ag+](<-[Br-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
7028,EDUJEU,CC(C)(C)P1(CC2CCCC3CP(C(C)(C)C)(C(C)(C)C)->[Pd+2]<-1(<-[Cl-])<-[CH-]23)C(C)(C)C
7029,EDUPEZ,CN1(C)Cc2ccccc2[S-]->[Zn+2]<-12<-[S-]c1ccccc1CN->2(C)C
7030,EDUPOL,CN1C=CN2[BH2-]N3C=CN(C)[C]3->[Ni+2]3(<-[C]12)<-[C]1N(C)C=CN1[BH2-]N1C=CN(C)[C]->31
7031,EDUPUQ,CC1=C(C)N(C(C)C)[C](->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C]2N(C(C)C)C(C)=C(C)N2C(C)C)N1C(C)C
7032,EDUQOL,CN1(C)CCN(C)(C)->[Pt+2]<-1(<-[Cl-])<-[Cl-]
7033,EDUREC,C1c2ccc[n-]2->[Pd+2]2(<-N=1c1ccccc1)<-N(=Cc1ccc[n-]->21)c1ccccc1
7034,EDUTOO,c1ccc(P(c2ccccc2)(c2ccccc2)->[Cu+]2(<-n3ccccc3-c3[nH]nnn->23)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
7035,EDUVUV,CC(C)NP(c1ccccc1)(c1ccccc1)->[Pt+2](<-[Cl-])(<-[Cl-])<-P(NC(C)C)(c1ccccc1)c1ccccc1
7036,EDUYAG,Cc1cc(C(C)(C)C)nn(B23n4nc(C(C)(C)C)cc(C)c4=[Se]->[Co+]<-2(<-[Cl-])<-[Se]=c2c(C)cc(C(C)(C)C)nn23)c1=[Se]
7037,EFADIB,CC#N->[Co+]123<-[Se]=c4c(C)cc(C(C)(C)C)nn4B->1(n1nc(C(C)(C)C)cc(C)c1=[Se]->2)n1nc(C(C)(C)C)cc(C)c1=[Se]->3
7038,EFAFIB,[O-2]->[Mo+6]12(<-[O-2])(<-[O-]c3ccccc3C3=N->1CCO3)<-[O-]c1ccccc1C1=N->2CCO1
7039,EFAGEA,CC1c2ccccn2->[Cd+2]23456(<-O=C->2(C)[O-]->3)(<-O=C->4(CC#N)[O-]->5)<-N=1CCN->6(C)C
7040,EFAGOI,CP(c1ccccc1)(c1ccccc1)->[RhH2+](<-[Cl-])(<-P(C)(c1ccccc1)c1ccccc1)<-P(C)(c1ccccc1)c1ccccc1
7041,EFAKEC,O=C1c2[nH]ccn2->[Ni+2]23<-n4cc[nH]c4C(=O)[N-]->2c2ccccc2[N-]->31
7042,EFAMED,[O+]#[C-]->[Re+]12(<-[C-]#[O+])(<-[C-]#[O+])<-[O-]C(O)(c3ccccn->13)c1ccccn->21
7043,EFAPUW,CC(C)S1Cc2cccc3CS(C(C)C)->[Pd+2]<-1(<-[Br-])<-[c-]23
7044,EFAWOA,c1ccc2c(c1)CC[C-]1->[Ir+3]34(<-[C-]5=C(c6ccccn->36)c3ccccc3CC5)(<-[C-]3=C(c5ccccn->45)c4ccccc4CC3)<-n3ccccc3C=12
7045,EFAXEP,CS1CCOc2ccccc2N23CCS(C)->[Ag+]<-1<-2<-S(C)CC3
7046,EFEDOL,CN(Cc1ccccc1)C1=N[CH-]Nc2c1[nH]cn2->[Zn+4](<-[Cl-])(<-[Cl-])<-[Cl-]
7047,EFEDUP,CC(C)c1cccc(C(C)C)c1N1=CC=N(c2c(C(C)C)cccc2C(C)C)->[Cr]<-1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
7048,EFEHON,CN12->[Y+3]34(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[N-](CC1)CCN->3(C)CCN->4(C)CC2
7049,EFEKUY,N#CCCCCN1c2ccccc2N(CCCCC#N)[C]1->[Au+]<-[Cl-]
7050,EFELEJ,N#CCCCCCN1c2ccccc2N(CCCCC#N)[C]1->[Au+]<-[Cl-]
7051,EFELOS,CC(C)(C)P1(CNc2ccccc2N2CP(->[PtH+]<-2<-1)(C(C)(C)C)C(C)(C)C)C(C)(C)C
7052,EFEREO,CC1=C2C=CC=CN2[C](->[Au+]<-[C]2N3C=CC=CC3=C(C)N2c2ccccn2)N1c1ccccn1
7053,EFEVOB,Fc1cc(F)c2Cn3cccn3->[Ir+3]34(<-[c-]2c1)(<-[c-]1cc(F)cc(F)c1Cn1cccn->31)<-N1=NC(C(F)(F)F)=NC1=C1C=CC=C[N-]->41
7054,EFEVUH,Fc1ccc(C(F)(F)F)c2Cn3cccn3->[Ir+3]34(<-[c-]12)(<-[c-]1c(F)ccc(C(F)(F)F)c1Cn1cccn->31)<-N1=NC(C(F)(F)F)=NC1=C1C=CC=C[N-]->41
7055,EFEWAO,CC(C)N12->[Fe+2]34(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-n5ccccc5CN->3(CC1)CCN->4(C(C)C)CC2
7056,EFEWUI,CNC1=NN2=C(C)CSCC(C)=N3N=C(NC)[S-]->[Zn+2]<-2<-3<-[S-]1
7057,EFICAZ,CCOC1[O-]->[Ru+4](<-[Cl-])(<-[Cl-])(<-[CH-]=c2ccc(OC)cc2=1)<-[C]1N(c2c(C)cc(C)cc2C)CCN1c1c(C)cc(C)cc1C
7058,EFICED,CCOC1[O-]->[Ru+4](<-[Cl-])(<-[Cl-])(<-[CH-]=c2cc([N+](=O)[O-])ccc2=1)<-[C]1N(c2c(C)cc(C)cc2C)CCN1c1c(C)cc(C)cc1C
7059,EFIHEJ,CC(C)(C)[N+]#[C-]->[Pd+2](<-[C-]#[N+]C(C)(C)C)(<-[Si-](C)(c1ccccc1)c1ccccc1)<-[Si-](C)(c1ccccc1)c1ccccc1
7060,EFIHUW,[Cl-]->[Pd+2]1(<-[Cl-])<-N23CCCCC2C2CC(C3)C3CCCCN->13C2
7061,EFIJEK,[Cl-]->[Hg+2]12<-N(CCN(CCN->1Cc1ccccc1)CCN->2Cc1ccccc1)Cc1ccccc1
7062,EFIKEJ,CCN(CC)C1=S->[W+6]234(<-[O-2])(<-S=C->2([S-]->3)N(CC)CC)(<-[S-]1)<-[Se-][Se-]->4
7063,EFIMIR,[CH3-]->[Pd+2]1(<-[O-]S(=O)(=O)c2ccccc2P->1(c1ccco1)c1ccco1)<-n1ccccc1
7064,EFIMUE,CC(C)P1(c2cccc3c2[CH-]2->[Pt+2]<-1(<-[Cl-])<-P(c1cccc(c12)C3(C)C)(C(C)C)C(C)C)C(C)C
7065,EFINAL,CC(C)P1(c2cccc3c2[C]2->[Pd+2]<-1(<-[Cl-])<-P(c1cccc(c12)C3(C)C)(C(C)C)C(C)C)C(C)C
7066,EFINUC,Cc1ccn(->[Ru+2]234(<-[O-]C(=Nc5cccc(-c6cccc(N=C([O-]->2)c2ccccc2)n->36)n->45)c2ccccc2)<-S(C)(C)=O)cc1
7067,EFIPEQ,Cc1cc(C)c(N2CCCCN(c3c(C)cc(C)cc3C)[C]2->[Pd+2](<-[Cl-])(<-[Cl-])<-n2cccc(Cl)c2)c(C)c1
7068,EFISUI,[O+]#[C-]->[Re+]1(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-n2ccccc2-c2cn(Cc3ccccc3)nn->12
7069,EFITET,[N-]=C=C1[P+](c2ccccc2)(c2ccccc2)[N-](c2ccccc2)->[Rh+](<-[C-]#[O+])(<-[C-]#[O+])<-[N-](c2ccccc2)[P+]1(c1ccccc1)c1ccccc1
7070,EFIVAQ,O=[N+]([O-])c1ccc([S-]->[Pd+2](<-[Cl-])(<-P(c2ccccc2)(c2ccccc2)c2ccccc2)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
7071,EFOBUW,CCC(O)=N->[Pt+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-N=C(O)CC
7072,EFOCEH,C[Si-]1(C)CCP(c2ccccc2)(c2ccccc2)->[RhH+2]<-1(<-[Cl-])(<-P(C)(C)C)<-P(C)(C)C
7073,EFOCOR,C[Si-]1(C)CCP(c2ccccc2)(c2ccccc2)->[Rh+]<-1(<-P(C)(C)C)(<-P(C)(C)C)<-P(C)(C)C
7074,EFOFEK,C1c2ccccn2->[Ru+2]234(<-[O-]C(=NN->2=1)c1ccccc1)<-[O-]C(=NN->3=Cc1ccccn->41)c1ccccc1
7075,EFOGUE,Cc1cn(->[Cd+2]23(<-[O-]C(=O)c4cccc(C)n->24)(<-[O-]C(=O)c2cccc(C)n->32)<-n2c[nH]c(C)c2)c[nH]1
7076,EFOHUF,CCOc1cccc2C=N3N=C([O-]->[V+5]<-34(<-[O-2])(<-O=c3ccoc(CC)c3[O-]->4)<-[O-]c21)c1cc(OC)cc(OC)c1
7077,EFOJIV,Clc1cccn2->[Pd+2](<-[Cl-])(<-[Cl-])<-n3cccc(Cl)c3-c12
7078,EFOJUH,Cc1ccc(N2c3cccn4->[Pd+2](<-[Cl-])(<-[Cl-])<-n5cccc(c5-c34)N(c3ccc(C)cc3)[Si]2(C)C)cc1
7079,EFOKIW,Cc1cn(->[Zn+2]23(<-[O-]C(=O)c4cccc(C)n->24)(<-[O-]C(=O)c2cccc(C)n->32)<-n2c[nH]c(C)c2)c[nH]1
7080,EFOPUK,CNC1NN2=C(N)c3ccccn3->[Cd+2]<-2(<-[Cl-])(<-[Cl-])<-S=1
7081,EFOXAA,Cc1cccc2C=N3CCN4(->[Ni+2]<-3(<-[N-]=C=S)<-[O-]c12)CCOCC4
7082,EFOXAB,N#CC1=C(C#N)N2=Cc3ccc(O)cc3[O-]->[Zn+2]<-23(<-[O-]c2cc(O)ccc2C=N->31)<-n1ccncc1
7083,EFOXEF,N#CC1=C(C#N)N2=Cc3ccc(O)cc3[O-]->[Zn+2]<-23(<-[O-]c2cc(O)ccc2C=N->31)<-n1ccc(-c2ccncc2)cc1
7084,EFOXII,S=C=[N-]->[Zn+2](<-[N-]=C=S)(<-n1ccc2ccccc2c1)(<-n1ccc2ccccc2c1)(<-n1ccc2ccccc2c1)<-n1ccc2ccccc2c1
7085,EFOXOO,S=C=[N-]->[Zn+2](<-[N-]=C=S)(<-n1ccc2ccccc2c1)<-n1ccc2ccccc2c1
7086,EFOXUU,S=C=[N-]->[Cd+2](<-[N-]=C=S)(<-n1ccc2ccccc2c1)(<-n1ccc2ccccc2c1)(<-n1ccc2ccccc2c1)<-n1ccc2ccccc2c1
7087,EFOYEG,CCCCS1CCCS(CCCC)->[Ta+5]<-1(<-[S-2])(<-[Cl-])(<-[Cl-])<-[Cl-]
7088,EFOYIK,CC(C)S1CCS(C(C)C)->[Ta+5]<-1(<-[S-2])(<-[Cl-])(<-[Cl-])<-[Cl-]
7089,EFOYOQ,CS1CCS(C)->[Ta+5]<-1(<-[S-2])(<-[Cl-])(<-[Cl-])<-[Cl-]
7090,EFUFAN,CC(C)CP1(CC(C)C)=S->[Y+3]2345(<-[O-][N+]->2(=O)[O-]->3)(<-S=P(CC(C)C)(CC(C)C)[S-]->4)(<-[S-]1)<-n1cccc2ccc3cccn->5c3c21
7091,EFUFIU,CC12=C->[MoH+]<-13(<-[C-]#[O+])(<-[C-]#[O+])(<-[CH2-]2)<-n1c(Br)c(Br)c(Br)n1Bn1c(Br)c(Br)c(Br)n->31
7092,EFUFOA,Cc1cc(C)n2->[MoH+]34(<-[C-]#[O+])(<-[C-]#[O+])(<-C=C->3(C)[CH2-]->4)<-n3c(C)cc(C)n3Bn12
7093,EFUGIW,CC1(C)N2CCN34->[Ni+2](<-[N-]=C=S)(<-[N-]=C=S)(<-O=C(Nc5ccccc5)N21)<-O=C(Nc1ccccc1)N3C4(C)C
7094,EFUGOB,[O+]#[C-]->[Rh+]12(<-[C-]#[O+])<-n3c(Br)c(Br)c(Br)n3[BH-](n3c(Br)c(Br)c(Br)n->13)n1c(Br)c(Br)c(Br)n->21
7095,EFUGUJ,O=Cc1ccccc1P(->[Au+]<-[Br-])(c1ccccc1)c1ccccc1
7096,EFUHAQ,O=Cc1ccccc1P(->[Au+]<-[I-])(c1ccccc1)c1ccccc1
7097,EFULEW,c1ncn2->[Cu+]3(<-n4cncn4[BH-](n12)n1cncn->31)<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1
7098,EFULOG,[Br-]->[V+3]1234<-[S-]c5ccccc5S->1Cc1cccc(CS->2c2ccccc2[S-]->3)n->41
7099,EFUNOK,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Au+]<-[S-]C(=S)N(C)C
7100,EFUNUQ,CCN(CC)C(=S)[S-]->[Au+]<-[C]1N(c2c(C(C)C)cccc2C(C)C)C=CN1c1c(C(C)C)cccc1C(C)C
7101,EFUQEE,Cn1ccn2->[Ni+2]34<-n5ccn(C)c5C(=O)[N-]->3CC[N-]->4C(=O)c12
7102,EFUQOO,CC1(C)CN->[Pt+2](<-[Cl-])(<-[Cl-])<-NC1
7103,EFUSED,C1=C[N-]2->[Ni+2]34(<-N5=CC=NC5=C2N1)(<-N1=CC=NC1=C1NC=C[N-]->31)<-n1ccccc1-c1ccccn->41
7104,EFUSON,C1=C[N-]2->[Co+3]34(<-N5=CC=NC5=C2N1)(<-n1cc[nH]c1-c1ncc[n-]->31)<-n1cc[nH]c1-c1ncc[n-]->41
7105,EFUTUV,Fc1c(F)c(F)[c-]2->[Pt+2]3(<-[c-]4c(F)c(F)c(F)c(F)c4P->3(c3ccccc3)c3ccccc3)<-P(c3ccccc3)(c3ccccc3)c2c1F
7106,EFUWAD,CC1COC2c3ccccc3P(c3ccccc3)(c3ccccc3)->[Pd]3(<-C(C#N)=C->3C#N)<-N=21
7107,EFUWIL,CC(C)(C)C1COC2c3ccccc3P(c3ccccc3)(c3ccccc3)->[Pd]3(<-C(C#N)=C->3C#N)<-N=21
7108,EFUXAF,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)[C]2->[Pd+2]2(<-[Cl-])<-[c-]3ccccc3CN->2(C)C)c(C)c1
7109,EFUXUY,N#Cc1cc[c-](->[Pd+2]2(<-[Br-])<-P(c3ccccc3)(c3ccccc3)c3ccccc3Oc3ccccc3P->2(c2ccccc2)c2ccccc2)cc1
7110,EFUYOT,CC1(C)c2cccc3P(c4ccccc4)(c4ccccc4)->[Pd+2]4(<-[CH3-])(<-[Cl-])<-O(c23)c2c1cccc2P->4(c1ccccc1)c1ccccc1
7111,EFUZAG,CC#N->[Pd+2]1(<-[CH3-])<-P(c2ccccc2)(c2ccccc2)c2ccccc2Oc2ccccc2P->1(c1ccccc1)c1ccccc1
7112,EGABIA,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)[C]2->[Pt+2](<-[CH3-])(<-[CH3-])<-n2ccccc2)c(C)c1
7113,EGABOG,Cc1cc(C)c(-[n+]2ccn3-c4c(C)cc(C)cc4[CH2-]->[Pt+2](<-[CH3-])(<-[c-]32)<-n2ccccc2)c(C)c1
7114,EGABUL,ClCCN1=Cc2ccccc2[O-]->[Ni+2]<-12<-[O-]c1ccccc1C=N->2CCCl
7115,EGACAT,Cc1cc(C)c(-[n+]2ccn3-c4c(C)cc(C)cc4[CH2-]->[Pt+2](<-[I-])(<-[c-]32)<-S(C)C)c(C)c1
7116,EGACIB,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)[C]2->[Pt+2](<-[CH3-])(<-[I-])<-S(C)C)c(C)c1
7117,EGADAU,COc1c(F)c(F)[c-](->[Cu+3](<-[C-](F)(F)F)(<-[C-](F)(F)F)<-[C-](F)(F)F)c(F)c1F
7118,EGADOH,Fc1ccc(-c2nn3->[Ir+3]45(<-[O-]c6ccccc6-c3o2)(<-[c-]2c(F)c(F)cc(F)c2-c2ccccn->42)<-[c-]2c(F)c(F)cc(F)c2-c2ccccn->52)cc1
7119,EGADUN,Fc1cc(F)c2-c3ccccn3->[Ir+3]34(<-[O-]c5ccccc5-c5oc(-c6ccccc6)nn->35)(<-[c-]2c1F)<-[c-]1c(F)c(F)cc(F)c1-c1ccccn->41
7120,EGAJOO,Cc1cc(C)c(-[n+]2ccn3-c4c(C)cc(C)cc4[CH2-]->[Pt+2](<-[CH3-])(<-[c-]32)<-S(C)C)c(C)c1
7121,EGAJUU,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Pt+2](<-[CH3-])(<-[CH3-])<-S(C)C
7122,EGAKAB,Cc1cc(C)c(-c2ccn3->[Pd+2](<-[Cl-])(<-[Cl-])<-NCCn23)c(C)c1
7123,EGALIK,CC(c1ccccc1)=N1Cc2ccccn2->[Cu+]<-12<-N(Cc1ccccn->21)=C(C)c1ccccc1
7124,EGAPUX,CCCN1=Cc2ccccc2[O-]->[Zn+2]<-12<-[O-]c1ccccc1C=N->2CCC
7125,EGASEK,CC1(O[C-](=O)->[Fe+2](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]1=O)P(C1CCCCC1)C1CCCCC1
7126,EGAVEQ,Cc1cc2c3c(P(C(C)C)(C(C)C)->[Co+]4(<-[C-]#[O+])<-[N-]3c3c(cc(C)cc3P->4(C(C)C)C(C)C)C2(C)C)c1
7127,EGAVOZ,CC(C)O->[Re+5](<-[O-2])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-[Cl-]
